indicator_name,indicator_code,janitor_version
Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT,tm_val_insf_zs_wt
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,tm_val_agri_zs_un
"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS,tm_tax_tcom_sr_zs
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,tm_tax_tcom_br_zs
"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS,tm_tax_mrch_sr_zs
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,tm_tax_mrch_br_zs
"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS,tm_tax_manf_sr_zs
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,tm_tax_manf_br_zs
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,st_int_xpnd_mp_zs
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,st_int_trnx_cd
"International tourism, number of departures",ST.INT.DPRT,st_int_dprt
Urban population,SP.URB.TOTL,sp_urb_totl
Rural population,SP.RUR.TOTL,sp_rur_totl
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,sp_reg_brth_ru_zs
"Population, male",SP.POP.TOTL.MA.IN,sp_pop_totl_ma_in
Technicians in R&D (per million people),SP.POP.TECH.RD.P6,sp_pop_tech_rd_p6
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,sp_pop_dpnd_ol
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,sp_pop_80up_fe_5y
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y,sp_pop_7074_fe_5y
"Population ages 65 and above, male",SP.POP.65UP.MA.IN,sp_pop_65up_ma_in
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y,sp_pop_6569_fe_5y
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,sp_pop_5559_fe_5y
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y,sp_pop_4549_fe_5y
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,sp_pop_3539_fe_5y
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y,sp_pop_2529_fe_5y
"Population ages 15-64, total",SP.POP.1564.TO,sp_pop_1564_to
"Population ages 15-64, female",SP.POP.1564.FE.IN,sp_pop_1564_fe_in
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,sp_pop_1014_fe_5y
"Population ages 0-14, total",SP.POP.0014.TO,sp_pop_0014_to
"Population ages 0-14, female",SP.POP.0014.FE.IN,sp_pop_0014_fe_in
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,sp_m18_2024_fe_zs
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,sp_dyn_to65_ma_zs
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,sp_dyn_le00_in
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,sp_dyn_imrt_fe_in
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,sp_dyn_cbrt_in
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,sn_itk_vita_zs
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,sn_itk_defc_zs
Refugee population by country or territory of asylum,SM.POP.REFG,sm_pop_refg
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS,sl_wag_0714_fe_zs
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,sl_uem_totl_ma_ne_zs
"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,sl_uem_neet_ma_zs
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,sl_uem_intm_fe_zs
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,sl_uem_advn_zs
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,sl_uem_1524_ne_zs
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,per_allsp_adq_pop_tot
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,pa_nus_fcrf
Net secondary income (Net current transfers from abroad) (current LCU),NY.TRF.NCTR.CN,ny_trf_nctr_cn
Taxes less subsidies on products (current US$),NY.TAX.NIND.CD,ny_tax_nind_cd
Gross savings (% of GDP),NY.GNS.ICTR.ZS,ny_gns_ictr_zs
"GNI per capita, PPP (constant 2017 international $)",NY.GNP.PCAP.PP.KD,ny_gnp_pcap_pp_kd
GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,ny_gnp_pcap_kd
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,ny_gnp_mktp_pp_cd
GNI: linked series (current LCU),NY.GNP.MKTP.CN.AD,ny_gnp_mktp_cn_ad
Gross domestic income (constant LCU),NY.GDY.TOTL.KN,ny_gdy_totl_kn
Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,ny_gdp_totl_rt_zs
GDP per capita (constant LCU),NY.GDP.PCAP.KN,ny_gdp_pcap_kn
GDP per capita (current US$),NY.GDP.PCAP.CD,ny_gdp_pcap_cd
GDP (constant LCU),NY.GDP.MKTP.KN,ny_gdp_mktp_kn
GDP (current LCU),NY.GDP.MKTP.CN,ny_gdp_mktp_cn
Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,ny_gdp_fcst_kn
Discrepancy in expenditure estimate of GDP (constant LCU),NY.GDP.DISC.KN,ny_gdp_disc_kn
"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,ny_gdp_defl_kd_zg_ad
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,ny_adj_svnx_gn_zs
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,ny_adj_nnty_pc_kd_zg
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,ny_adj_nnty_kd
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,ny_adj_ictr_gn_zs
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,ny_adj_dngy_gn_zs
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,ny_adj_dkap_gn_zs
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,ny_adj_dco2_gn_zs
"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,nv_srv_totl_zs
"Services, value added (current LCU)",NV.SRV.TOTL.CN,nv_srv_totl_cn
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,nv_mnf_tech_zs_un
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,nv_mnf_chem_zs_un
"Industry (including construction), value added (constant 2015 US$)",NV.IND.TOTL.KD,nv_ind_totl_kd
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,nv_ind_manf_kn
"Manufacturing, value added (current US$)",NV.IND.MANF.CD,nv_ind_manf_cd
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,nv_agr_totl_zs
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,nv_agr_totl_cn
External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,ne_rsb_gnfs_zs
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,ne_imp_gnfs_zs
Imports of goods and services (current LCU),NE.IMP.GNFS.CN,ne_imp_gnfs_cn
Gross capital formation (annual % growth),NE.GDI.TOTL.KD.ZG,ne_gdi_totl_kd_zg
Changes in inventories (constant LCU),NE.GDI.STKB.KN,ne_gdi_stkb_kn
Gross fixed capital formation (constant LCU),NE.GDI.FTOT.KN,ne_gdi_ftot_kn
Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,ne_gdi_ftot_cd
Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,ne_exp_gnfs_kn
Exports of goods and services (current US$),NE.EXP.GNFS.CD,ne_exp_gnfs_cd
Gross national expenditure (current LCU),NE.DAB.TOTL.CN,ne_dab_totl_cn
Final consumption expenditure (constant LCU),NE.CON.TOTL.KN,ne_con_totl_kn
Final consumption expenditure (current US$),NE.CON.TOTL.CD,ne_con_totl_cd
Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,ne_con_prvt_pc_kd_zg
Households and NPISHs Final consumption expenditure (constant 2015 US$),NE.CON.PRVT.KD,ne_con_prvt_kd
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,ne_con_govt_zs
General government final consumption expenditure (current LCU),NE.CON.GOVT.CN,ne_con_govt_cn
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,ms_mil_xpnd_gd_zs
"Armed forces personnel, total",MS.MIL.TOTL.P1,ms_mil_totl_p1
Customs and other import duties (current LCU),GC.TAX.IMPT.CN,gc_tax_impt_cn
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,gc_tax_expt_zs
Social contributions (% of revenue),GC.REV.SOCL.ZS,gc_rev_socl_zs
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,gc_nld_totl_gd_zs
"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,gc_lbl_totl_gd_zs
Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,gc_ast_totl_gd_zs
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,fx_own_totl_yg_zs
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,fx_own_totl_ma_zs
Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,fs_ast_prvt_gd_zs
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,fr_inr_risk
Deposit interest rate (%),FR.INR.DPST,fr_inr_dpst
Broad money growth (annual %),FM.LBL.BMNY.ZG,fm_lbl_bmny_zg
Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,fm_ast_prvt_zg_m3
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,fm_ast_domo_zg_m3
Total reserves (% of total external debt),FI.RES.TOTL.DT.ZS,fi_res_totl_dt_zs
"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,fb_cbk_dptr_p3
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,fb_atm_totl_p5
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,er_lnd_ptld_zs
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,er_h2o_fwtl_k3
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,er_h2o_fwag_zs
Aquaculture production (metric tons),ER.FSH.AQUA.MT,er_fsh_aqua_mt
Population in urban agglomerations of more than 1 million,EN.URB.MCTY,en_urb_mcty
Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,en_pop_el5m_zs
"Mammal species, threatened",EN.MAM.THRD.NO,en_mam_thrd_no
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,en_co2_othx_zs
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,en_clc_mdat_zs
SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE,en_atm_sf6g_kt_ce
"PM2.5 pollution, population exposed to levels exceeding WHO Interim Target-1 value (% of total)",EN.ATM.PM25.MC.T1.ZS,en_atm_pm25_mc_t1_zs
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,en_atm_noxe_kt_ce
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,en_atm_noxe_ag_kt_ce
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,en_atm_meth_eg_kt_ce
Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,en_atm_ghgt_zg
CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,en_atm_co2e_sf_zs
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,en_atm_co2e_pc
CO2 emissions (kg per 2015 US$ of GDP),EN.ATM.CO2E.KD.GD,en_atm_co2e_kd_gd
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,eg_use_pcap_kg_oe
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,eg_use_comm_fo_zs
GDP per unit of energy use (PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP,eg_gdp_puse_ko_pp
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,eg_elc_rnew_zs
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,eg_elc_loss_zs
Access to electricity (% of population),EG.ELC.ACCS.ZS,eg_elc_accs_zs
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,eg_cft_accs_zs
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,dt_tds_mlat_cd
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,dt_tds_dppf_xp_zs
"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,dt_tds_dect_cd
Net official development assistance received (constant 2020 US$),DT.ODA.ODAT.KD,dt_oda_odat_kd
Net official aid received (constant 2020 US$),DT.ODA.OATL.KD,dt_oda_oatl_kd
"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD,dt_nfl_whol_cd
"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,vc_ihr_psrc_ma_p5
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,vc_idp_nwcv
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,tx_val_tech_mf_zs
Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,tx_val_mrch_xd_wd
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,tx_val_mrch_r6_zs
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,tx_val_mrch_r2_zs
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,tx_val_mrch_cd_wt
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,tx_val_insf_zs_wt
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,tx_val_agri_zs_un
Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,tt_pri_mrch_xd_wd
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,tm_val_othr_zs_wt
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,tm_val_mrch_rs_zs
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,tm_val_mrch_r3_zs
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,tm_val_mrch_hi_zs
Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,tm_val_manf_zs_un
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,tm_val_food_zs_un
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,tm_tax_tcom_wm_ar_zs
"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,tm_tax_tcom_ip_zs
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,tm_tax_mrch_wm_ar_zs
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,tm_tax_mrch_ip_zs
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,tm_tax_manf_wm_ar_zs
"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,tm_tax_manf_ip_zs
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,tg_val_totl_gd_zs
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,st_int_tvlr_cd
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,st_int_rcpt_cd
Urban population (% of total population),SP.URB.TOTL.IN.ZS,sp_urb_totl_in_zs
Rural population growth (annual %),SP.RUR.TOTL.ZG,sp_rur_totl_zg
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,sp_reg_brth_ur_zs
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,sp_pop_totl_ma_zs
"Population, total",SP.POP.TOTL,sp_pop_totl
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,sp_pop_dpnd_yg
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,sp_pop_80up_ma_5y
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,sp_pop_7074_ma_5y
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,sp_pop_65up_ma_zs
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,sp_pop_6569_ma_5y
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,sp_pop_5559_ma_5y
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,sp_pop_4549_ma_5y
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,sp_pop_3539_ma_5y
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,sp_pop_2529_ma_5y
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,sp_pop_1564_to_zs
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,sp_pop_1564_fe_zs
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,sp_pop_1014_ma_5y
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,sp_pop_0014_to_zs
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS,sp_pop_0014_fe_zs
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS,sp_mtr_1519_zs
Wanted fertility rate (births per woman),SP.DYN.WFRT,sp_dyn_wfrt
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,sp_dyn_le00_ma_in
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,sp_dyn_imrt_in
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,sp_dyn_cdrt_in
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,sp_ado_tfrt
Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,sn_itk_msfi_zs
Refugee population by country or territory of origin,SM.POP.REFG.OR,sm_pop_refg_or
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS,sl_wag_0714_ma_zs
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,sl_uem_totl_ma_zs
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,sl_uem_neet_zs
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,sl_uem_intm_ma_zs
"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,sl_uem_basc_fe_zs
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,sl_uem_1524_zs
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,sh_sta_wash_p5
"Suicide mortality rate, female (per 100,000 female population)",SH.STA.SUIC.FE.P5,sh_sta_suic_fe_p5
"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,sh_sta_stnt_fe_zs
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,sh_sta_pois_p5_ma
"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS,sh_sta_owgh_me_zs
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS,sh_sta_orcf_zs
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,sh_sta_mmrt_ne
"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,sh_sta_maln_fe_zs
Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,sh_sta_fgms_zs
Exclusive breastfeeding (% of children under 6 months),SH.STA.BFED.ZS,sh_sta_bfed_zs
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,sh_sta_aric_zs
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5,sh_sta_airp_fe_p5
"Prevalence of current tobacco use, males (% of male adults)",SH.PRV.SMOK.MA,sh_prv_smok_ma
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,sh_mmr_risk_zs
Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS,sh_mlr_nets_zs
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,sh_med_numw_p3
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,sh_imm_idpt
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,sh_hiv_incd_yg_p3
Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,sh_hiv_incd_14
"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,sh_hiv_1524_fe_zs
"People using safely managed drinking water services, rural (% of rural population)",SH.H2O.SMDW.RU.ZS,sh_h2o_smdw_ru_zs
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,sh_fpl_satm_zs
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,sh_dyn_ncom_fe_zs
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,sh_dyn_aids_zs
"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,sh_dyn_1014
Number of under-five deaths,SH.DTH.MORT,sh_dth_mort
Number of deaths ages 20-24 years,SH.DTH.2024,sh_dth_2024
"Condom use, population ages 15-24, male (% of males ages 15-24)",SH.CON.1524.MA.ZS,sh_con_1524_ma_zs
Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,sh_anm_allw_zs
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),SG.VAW.REFU.ZS,sg_vaw_refu_zs
Women who believe a husband is justified in beating his wife when she burns the food (%),SG.VAW.BURN.ZS,sg_vaw_burn_zs
"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,sg_tim_uwrk_fe
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",SG.DMK.ALLD.FN.ZS,sg_dmk_alld_fn_zs
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,se_xpd_tert_pc_zs
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,se_xpd_prim_pc_zs
"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,se_xpd_cprm_zs
"School enrollment, tertiary (% gross)",SE.TER.ENRR,se_ter_enrr
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,se_ter_cuat_st_fe_zs
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,se_ter_cuat_do_zs
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,se_ter_cuat_ba_ma_zs
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,se_sec_uner_lo_fe_zs
Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS,se_sec_tcaq_zs
"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS,se_sec_tcaq_ma_zs
"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,se_sec_tcaq_fe_zs
"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,se_sec_priv_zs
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,se_sec_enrr_ma
"Secondary education, vocational pupils",SE.SEC.ENRL.VO,se_sec_enrl_vo
"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,se_sec_enrl_gc_fe_zs
"Secondary education, duration (years)",SE.SEC.DURS,se_sec_durs
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,se_sec_cuat_po_zs
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,se_sec_cuat_lo_ma_zs
"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,se_sec_cmpt_lo_fe_zs
"Children out of school, primary, male",SE.PRM.UNER.MA,se_prm_uner_ma
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,se_prm_tenr_ma
"Primary education, teachers",SE.PRM.TCHR,se_prm_tchr
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,se_prm_rept_zs
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,se_prm_prsl_ma_zs
"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,se_prm_prs5_fe_zs
"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,se_prm_oenr_fe_zs
"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,se_prm_nenr_ma
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,se_prm_gint_ma_zs
"School enrollment, primary (% gross)",SE.PRM.ENRR,se_prm_enrr
"Primary education, duration (years)",SE.PRM.DURS,se_prm_durs
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,se_prm_cmpt_zs
Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,se_pre_tcaq_zs
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,se_pre_enrr_fe
"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,se_enr_tert_fm_zs
"Compulsory education, duration (years)",SE.COM.DURS,se_com_durs
"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,se_adt_1524_lt_zs
Real effective exchange rate index (2010 = 100),PX.REX.REER,px_rex_reer
Coverage of social insurance programs in 2nd quintile (% of population),per_si_allsi.cov_q2_tot,per_si_allsi_cov_q2_tot
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,dt_nfl_unrw_cd
